customer_id	tot_travel_sales	tot_sales	travel_sales_percentage
4336	0	7	,000000
4337	28	28	100,000000
4338	21	21	100,000000
4340	131	131	100,000000
4341	35	35	100,000000
4342	86	86	100,000000
4343	19	19	100,000000
4344	27	27	100,000000
4345	5	5	100,000000
4346	9	9	100,000000
4348	4	4	100,000000
4349	16	16	100,000000
4350	46	46	100,000000
4351	0	96	,000000
4352	0	10	,000000
4353	1	1	100,000000
4355	0	104	,000000
4356	22	22	100,000000
4357	38	38	100,000000
4358	17	17	100,000000
4359	3	3	100,000000
4360	0	12	,000000
4361	12	12	100,000000
4362	0	40	,000000
4363	22	22	100,000000
4364	61	61	100,000000
4365	5	5	100,000000
4367	13	13	100,000000
4368	25	25	100,000000
4369	23	23	100,000000
4370	4	4	100,000000
4372	61	61	100,000000
4373	0	61	,000000
4374	0	67	,000000
4375	15	25	60,000000
4376	11	11	100,000000
4377	57	57	100,000000
4378	15	15	100,000000
4379	19	19	100,000000
4380	5	5	100,000000
4381	0	2	,000000
4382	5	5	100,000000
4384	21	27	77,777778
4385	26	26	100,000000
4386	0	226	,000000
4387	5	5	100,000000
4388	8	8	100,000000
4390	13	13	100,000000
4391	0	257	,000000
4392	27	27	100,000000
4394	0	5	,000000
4395	21	21	100,000000
4396	65	65	100,000000
4397	0	262	,000000
4398	21	21	100,000000
4399	0	31	,000000
4400	4	4	100,000000
4401	31	31	100,000000
4402	33	33	100,000000
4403	31	31	100,000000
4404	13	13	100,000000
4405	43	43	100,000000
4406	10	10	100,000000
4407	9	26	34,615385
4408	43	43	100,000000
4409	23	23	100,000000
4410	0	37	,000000
4411	0	16	,000000
4412	7	7	100,000000
4413	70	70	100,000000
4415	7	7	100,000000
4416	15	15	100,000000
4417	0	130	,000000
4418	25	25	100,000000
4419	0	142	,000000
4420	35	35	100,000000
4421	3	3	100,000000
4422	20	20	100,000000
4423	72	72	100,000000
4425	0	41	,000000
4426	17	17	100,000000
4427	4	4	100,000000
4428	1	1	100,000000
4429	29	29	100,000000
4431	53	53	100,000000
4432	1	1	100,000000
4433	16	16	100,000000
4434	28	28	100,000000
4436	71	71	100,000000
4437	0	68	,000000
4438	17	17	100,000000
4439	23	23	100,000000
4440	15	15	100,000000
4441	10	10	100,000000
4442	11	11	100,000000
4443	40	40	100,000000
4444	18	18	100,000000
4445	0	115	,000000
4446	14	14	100,000000
4447	33	39	84,615385
4449	9	9	100,000000
4450	12	12	100,000000
4451	15	15	100,000000
4452	6	6	100,000000
4453	34	34	100,000000
4454	35	35	100,000000
4455	28	28	100,000000
4456	6	6	100,000000
4457	0	28	,000000
4458	11	11	100,000000
4459	19	19	100,000000
4460	122	122	100,000000
4461	40	40	100,000000
4462	3	3	100,000000
4463	24	24	100,000000
4464	18	18	100,000000
4465	63	63	100,000000
4466	39	39	100,000000
4467	0	69	,000000
4468	37	37	100,000000
4470	2	14	14,285714
4471	33	33	100,000000
4473	10	10	100,000000
4474	30	30	100,000000
4475	0	5	,000000
4476	23	23	100,000000
4477	0	124	,000000
4478	4	4	100,000000
4479	16	16	100,000000
4480	14	14	100,000000
4481	0	11	,000000
4482	4	4	100,000000
4483	0	4	,000000
4484	8	8	100,000000
4485	0	98	,000000
4486	18	18	100,000000
4487	24	24	100,000000
4488	9	20	45,000000
4490	87	87	100,000000
4491	22	22	100,000000
4492	20	20	100,000000
4494	2	2	100,000000
4495	0	144	,000000
4496	12	12	100,000000
4497	115	115	100,000000
4498	133	133	100,000000
4499	41	41	100,000000
4500	5	5	100,000000
4501	12	12	100,000000
4502	7	7	100,000000
4503	0	37	,000000
4504	7	7	100,000000
4505	6	6	100,000000
4506	5	5	100,000000
4507	75	75	100,000000
4508	37	37	100,000000
4509	12	12	100,000000
4510	34	34	100,000000
4514	28	28	100,000000
4515	7	7	100,000000
4516	0	31	,000000
4518	59	59	100,000000
4519	8	8	100,000000
4520	31	31	100,000000
4522	0	85	,000000
4524	29	29	100,000000
4525	24	24	100,000000
4526	11	11	100,000000
4527	93	93	100,000000
4528	19	19	100,000000
4530	5	5	100,000000
4531	0	38	,000000
4533	10	10	100,000000
4534	19	19	100,000000
4535	16	16	100,000000
4536	20	20	100,000000
4537	31	31	100,000000
4538	31	31	100,000000
4540	0	23	,000000
4541	146	146	100,000000
4542	2	2	100,000000
4543	0	76	,000000
4544	14	14	100,000000
4545	25	25	100,000000
4546	2	2	100,000000
4547	49	49	100,000000
4548	17	21	80,952381
4549	13	13	100,000000
4550	2	2	100,000000
4551	2	2	100,000000
4552	0	90	,000000
4553	21	21	100,000000
4554	23	23	100,000000
4555	41	41	100,000000
4556	56	56	100,000000
4557	0	44	,000000
4558	26	26	100,000000
4559	0	5	,000000
4561	12	12	100,000000
4562	43	43	100,000000
4563	7	7	100,000000
4564	104	104	100,000000
4566	19	19	100,000000
4567	0	46	,000000
4568	25	25	100,000000
4569	5	5	100,000000
4570	19	19	100,000000
4571	0	124	,000000
